id,name,confirmed,deaths,recovered
-1,Northern Cyprus,262,8,23
-2,Kosovo,112,1,6
-3,Somaliland,n/a,n/a,n/a
4,Afghanistan,174,4,5
8,Albania,243,15,52
10,Antarctica,0,0,0
12,Algeria,716,44,46
16,American Samoa ,n/a,n/a,n/a
20,Andorra,376,12,10
24,Angola,7,2,1
28,Antigua and Barbuda,7,0,0
31,Azerbaijan,298,5,26
32,Argentina,1054,27,240
36,Australia,4559,18,358
40,Austria,10180,128,1095
44,Bahamas,14,0,1
48,Bahrain,567,4,295
50,Bangladesh,51,5,25
51,Armenia,532,3,30
52,Barbados,34,0,0
56,Belgium,12775,705,1696
60,Bermuda,32,0,10
64,Bhutan,4,0,0
68,"Bolivia, Plurinational State of",107,6,0
70,Bosnia and Herzegovina,420,13,17
72,Botswana,4,1,0
74,Bouvet Island,,,
76,Brazil,5717,201,127
84,Belize,3,0,0
86,British Indian Ocean Territory,n/a,n/a,n/a
90,Solomon Islands,n/a,n/a,n/a
92,"Virgin Islands, British",3,0,0
96,Brunei Darussalam,129,1,45
100,Bulgaria,399,8,17
104,Myanmar,n/a,n/a,n/a
108,Burundi,2,0,0
112,Belarus,151,1,47
116,Cambodia,109,0,23
120,Cameroon,193,6,5
124,Canada,8521,100,0
132,Cape Verde,n/a,n/a,n/a
136,Cayman Islands,14,1,0
140,Central African Republic,3,0,0
144,Sri Lanka,143,2,17
148,Chad,7,0,0
152,Chile,2738,12,156
156,China,81565,3305,76078
158,"Taiwan, Province of China",322,5,39
162,Christmas Island,n/a,n/a,n/a
166,Cocos (Keeling) Islands,n/a,n/a,n/a
170,Colombia,906,16,31
174,Comoros,n/a,n/a,n/a
175,Mayotte,n/a,n/a,n/a
178,Congo,19,0,0
180,"Congo, the Democratic Republic of the",98,8,2
184,Cook Islands,n/a,n/a,n/a
188,Costa Rica,347,2,4
191,Croatia,867,6,67
192,Cuba,186,6,8
196,Cyprus,262,8,23
203,Czech Republic,3308,31,45
204,Benin,9,0,1
208,Denmark,2860,90,1
212,Dominica,n/a,n/a,n/a
214,Dominican Republic,1109,51,5
218,Ecuador,2240,75,54
222,El Salvador,32,1,0
226,Equatorial Guinea,12,0,1
231,Ethiopia,26,0,2
232,Eritrea,15,0,0
233,Estonia,745,4,26
234,Faroe Islands,169,0,74
238,Falkland Islands (Malvinas),0,0,0
239,South Georgia and the South Sandwich Islands,n/a,n/a,n/a
242,Fiji,5,0,0
246,Finland,1418,17,10
248,Åland Islands,n/a,n/a,n/a
250,France 52128,3523,9444,
254,French Guiana,43,0,6
258,French Polynesia,36,0,0
260,French Southern Territories,n/a,n/a,n/a
262,Djibouti,30,0,0
266,Gabon,16,1,0
268,Georgia,110,0,21
270,Gambia,4,1,0
275,"Palestinian Territory, Occupied",119,1,18
276,Germany,71808,775,16100
288,Ghana,161,5,31
292,Gibraltar,69,0,34
296,Kiribati,n/a,n/a,n/a
300,Greece,1314,49,52
304,Greenland,10,0,2
308,Grenada,9,0,0
312,Guadeloupe,114,4,22
316,Guam,n/a,n/a,n/a
320,Guatemala,38,1,12
324,Guinea,22,0,0
328,Guyana,12,2,0
332,Haiti,15,0,1
334,Heard Island and McDonald Islands,n/a,n/a,n/a
336,Holy See (Vatican City State),6,0,0
340,Honduras,141,7,3
344,Hong Kong,714,4,128
348,Hungary,492,16,37
352,Iceland,1135,2,198
356,India,1397,35,123
360,Indonesia,1528,136,81
364,"Iran, Islamic Republic of",44605,2898,14656
368,Iraq,694,50,170
372,Ireland,3235,71,5
376,Israel,5358,20,224
380,Italy,105792,12428,15769
384,Côte d'Ivoire,179,1,7
388,Jamaica,36,1,2
392,Japan,1953,56,424
398,Kazakhstan,343,2,24
400,Jordan,274,5,30
404,Kenya,59,1,1
408,"Korea, Democratic People's Republic of",n/a,n/a,n/a
410,"Korea, Republic of",9786,162,5408
414,Kuwait,289,0,73
417,Kyrgyzstan,107,0,3
418,Lao People's Democratic Republic,9,0,0
422,Lebanon,470,12,37
426,Lesotho,n/a,n/a,n/a
428,Latvia,398,0,1
430,Liberia,3,0,0
434,Libya,10,0,1
438,Liechtenstein,68,0,0
440,Lithuania,537,8,7
442,Luxembourg,2178,23,80
446,Macao,n/a,n/a,n/a
450,Madagascar,57,0,0
454,Malawi,0,0,0
458,Malaysia,2766,43,537
462,Maldives,18,0,13
466,Mali,28,2,0
470,Malta,169,0,2
474,Martinique,128,3,27
478,Mauritania,6,1,2
480,Mauritius,143,5,0
484,Mexico,1094,28,35
492,Monaco,52,1,2
496,Mongolia,12,0,2
498,"Moldova, Republic of",353,4,18
499,Montenegro,109,2,0
500,Montserrat,5,0,0
504,Morocco,617,36,24
508,Mozambique,8,0,0
512,Oman,192,1,34
516,Namibia,11,0,2
520,Nauru,n/a,n/a,n/a
524,Nepal,5,0,1
528,Netherlands,12595,1039,250
531,Curaçao,11,1,2
533,Aruba,55,0,1
534,Sint Maarten (Dutch part),6,0,0
535,"Bonaire, Sint Eustatius and Saba",n/a,n/a,n/a
540,New Caledonia,16,0,0
548,Vanuatu,n/a,n/a,n/a
554,New Zealand,647,1,74
558,Nicaragua,5,1,0
562,Niger,27,3,0
566,Nigeria,135,2,8
570,Niue,n/a,n/a,n/a
574,Norfolk Island,n/a,n/a,n/a
578,Norway,4641,39,13
580,Northern Mariana Islands,n/a,n/a,n/a
581,United States Minor Outlying Islands,n/a,n/a,n/a
583,"Micronesia, Federated States of",n/a,n/a,n/a
584,Marshall Islands,n/a,n/a,n/a
585,Palau,n/a,n/a,n/a
586,Pakistan,1938,26,76
591,Panama,1181,30,9
598,Papua New Guinea,1,0,0
600,Paraguay,65,3,1
604,Peru,1065,30,394
608,Philippines,2084,88,49
612,Pitcairn,n/a,n/a,n/a
616,Poland,2311,33,7
620,Portugal,7443,160,43
624,Guinea-Bissau,8,0,0
626,Timor-Leste,1,0,0
630,Puerto Rico,n/a,n/a,n/a
634,Qatar,781,2,62
638,Réunion,247,0,1
642,Romania,2245,82,220
643,Russian Federation,2337,17,121
646,Rwanda,75,0,0
652,Saint Barthélemy,6,0,1
654,"Saint Helena, Ascension and Tristan da Cunha",n/a,n/a,n/a
659,Saint Kitts and Nevis,8,0,0
660,Anguilla,2,0,0
662,Saint Lucia,13,0,1
663,Saint Martin (French part),15,1,2
666,Saint Pierre and Miquelon,0,0,0
670,Saint Vincent and the Grenadines,1,0,1
674,San Marino,236,26,13
678,Sao Tome and Principe,0,0,0
682,Saudi Arabia,1563,10,165
686,Senegal,175,0,40
688,Serbia,900,16,0
690,Seychelles,10,0,0
694,Sierra Leone,1,0,0
702,Singapore,926,3,240
703,Slovakia,363,0,3
704,Viet Nam,212,0,58
705,Slovenia,802,15,10
706,Somalia,5,0,1
710,South Africa,1353,5,31
716,Zimbabwe,8,1,0
724,Spain,95923,8464,19259
728,South Sudan,0,0,0
729,Sudan,7,2,1
732,Western Sahara,0,0,0
740,Suriname,9,0,0
744,Svalbard and Jan Mayen,n/a,n/a,n/a
748,Swaziland,n/a,n/a,n/a
752,Sweden,4435,180,16
756,Switzerland,16605,433,1823
760,Syrian Arab Republic,n/a,n/a,n/a
762,Tajikistan,n/a,n/a,n/a
764,Thailand,1651,10,342
768,Togo,34,1,10
772,Tokelau,n/a,n/a,n/a
776,Tonga,n/a,n/a,n/a
780,Trinidad and Tobago,87,3,1
784,United Arab Emirates,664,6,61
788,Tunisia,394,10,3
792,Turkey,13531,214,243
795,Turkmenistan,n/a,n/a,n/a
796,Turks and Caicos Islands,5,0,0
798,Tuvalu,n/a,n/a,n/a
800,Uganda,44,0,0
804,Ukraine,645,17,10
807,"Macedonia, the former Yugoslav Republic of",329,9,12
818,Egypt,710,46,157
826,United Kingdom,25150,1789,135
831,Guernsey,n/a,n/a,n/a
832,Jersey,n/a,n/a,n/a
833,Isle of Man,60,0,0
834,"Tanzania, United Republic of",19,1,1
840,United States,188172,3873,7024
850,"Virgin Islands, U.S.",n/a,n/a,n/a
854,Burkina Faso,261,14,32
858,Uruguay,338,1,41
860,Uzbekistan,172,2,7
862,"Venezuela, Bolivarian Republic of",135,3,39
876,Wallis and Futuna,n/a,n/a,n/a
882,Samoa,n/a,n/a,n/a
887,Yemen,n/a,n/a,n/a
894,Zambia,35,0,0
